类别;部门;电话 1;电话 2;备注
病区 -5 层，儿科医生办，2352，，
病区 -6 层，心脏科护理站，2130，，床位 179-222
病区 -6 层，心脏科医生办，2343，2337，
病区 -6 层，CCU 护理站，2639，2631，床位 223-242
病区 -7 层，心脑科护理站，2630，2121，床位 243-340
病区 -8 层，消化科护理站，2253，，床位 341-389
病区 -8 层，肝胆外科护理站，2054，，床位 390-438
病区 -9 层，消化科护理站，2122，，床位 439-487
病区 -9 层，肝胆外科护理站，2313，，床位 488-536
病区 -10 层，消化科护理站，2310，，床位 537-585
病区 -10 层，肝胆外科护理站，2223，，床位 586-634
病区 -11 层，肾内科护理站，2303，，床位 635-683
病区 -11 层，重症医学科护理站，2553，，床位 684-725
病区 -12 层，普通外科护理站，2087，2181，床位 726-823
病区 -13 层，神经内科护理站，2177，，床位 824-872
病区 -13 层，神经外科护理站，2289，，床位 873-921
病区 -14 层，骨科护理站，2048，2245，床位 922-1019
病区 -15 层，内分泌科护理站，2050，，床位 1020-1068
病区 -15 层，血液内科护理站，2123，，床位 1069-1085
病区 -右裙楼，中医科，2641，2649，
病区 -右裙楼，五官科，2642，2645，
病区 -右裙楼，泌尿外科，2643，2647，
病区 -右裙楼，胸外科，2644，2646，
病区 -左裙楼，呼吸科，8002，8034，
病区 -左裙楼，神经外科，8003，8071，
病区 -左裙楼，肿瘤科，8004，8031，
医技科室，放射科主任，2200，，
医技科室，CT 室，2555，，
医技科室，螺旋 CT，2098，，
医技科室，磁共振 3.0，2100，，
医技科室，B 超主任，2021，，
医技科室，门诊 B 超，2025，，
医技科室，心脏 B 超，2201，，
医技科室，妇科 B 超，2416，，
医技科室，检验科主任，2333，，
医技科室，门诊检验，2026，，
医技科室，血库，2350，，
医技科室，中心采血室，2263，，
医技科室，生化室，2081，，
医技科室，免疫室，2153，，
医技科室，细菌室，2193，，
医技科室，核医学主任，2052，，
医技科室，碘治疗所，2366，，
医技科室，病理切片，2489，，
医技科室，肝研所，2818，，
医技科室，PCR 室，2156，，
医技科室，胃镜室，2013，，
医技科室，14 楼肌电图，2620，，
药房，药房主任，2505，，
药房，西药房，2419，2045，
药房，西药库，2022，，
药房，急诊窗口，2501，，
药房，中心药站，2422，，
药房，便民药房，2251，，
药房，中药房，2043，，
手术室，手术室，2084，，
手术室，麻醉办公室，2363，，
手术室，复苏室，2587，，
手术室，供应室，2142，，
手术室，运送中心，2016，，
后勤/总务，总务处，2241，，
后勤/总务，维修班，2012，，
后勤/总务，电梯班，2196，，
后勤/总务，锅炉房，2524，，
后勤/总务，餐饮科，2619，，
后勤/总务，食堂 1#，2422，，
后勤/总务，食堂 2#，2426，，
后勤/总务，食堂 3#，2049，，
后勤/总务，职工食堂，2407，，
后勤/总务，洗衣房，2459，，
后勤/总务，基建办，2658，，
财务/医保，财务物价处，2225，，
财务/医保，挂号处，2092，，
财务/医保，住院处，2573，，
财务/医保，入院窗口，2216，，
财务/医保，出院窗口，2072，，
财务/医保，医保结算，2039，，
财务/医保，门诊清算，2198，，
财务/医保，住院清算，2238，，
其他，营养主任，2224，，
其他，营养门诊，2613，，
